English;Sport;Ball;Мяч,Шайба,Клюшка,Каток
English;Sport;Pool;Бассейн,Арена,Поло,Мяч
English;Sport;Puck;Шайба,Мяч,Ворота,Бутсы
English;Sport;Goal;Ворота,Мяч,Вратарь,Счет
English;Sport;Field;Поле,Шайба,Мяч,Клюшка
English;Sport;Cleats;Бутсы,Вратарь,Счет,Бассейн
English;Sport;Score;Счет,Игра,Шайба,Ворота
English;Sport;Skates;Коньки,Бутсы,Счет,Вратарь
English;Sport;Game;Игра,Мяч,Каток,Арена
English;Sport;Skiing;Лыжи,Бассейн,Счет,Поле
English;Sport;Shooting;Стрельба,Борьба,Поле,Игра
English;Sport;Fighting;Борьба,Прыжки,Лыжи,Стрельба
English;Animals;Tiger;Тигр,Лев,Пантера,Гепард
English;Animals;Lion;Лев,Тигр,Гончая,Собака
English;Animals;Monkey;Обезьяна,Горилла,Макака,Ленивец
English;Animals;Cockroach;Таракан,Жук,Бабочка
English;Animals;Butterfly;Бабочка,Пчела,Жаворонок,Голубь
English;Animals;Rat;Крыса,Голубь,Мышь,Хомяк
English;Animals;Mouse;Мышь,Крыса,Хомяк,Манул
English;Animals;Dog;Собака,Кот,Кайот,Обезьяна
English;Animals;Cat;Кот,Собака,Пантера,Мышь
English;Animals;Bee;Пчела,Оса,Шершень,Муха
English;Animals;Fly;Муха,Оса,Пчела,Комар
English;Animals;Hippo;Бегемот,Человек,Зебра,Морж
English;Animals;Giraffe;Жираф,Бегемот,Мангуст,Манул
Russian;Animals;Тигр;Tiger,Lion,Panter,Monkey
Russian;Animals;Лев;Lion,Tiger,Monkey,Hippo
Russian;Animals;Обезьяна;Monkey,Gorilla,Rat,Butterfly
Russian;Animals;Таракан;Cockroach,Bug,Fly,Bee
Russian;Animals;Крыса;Rat,Bug,Butterfly,Cat
Russian;Animals;Мышь;Mouse,Rat,Bee,Dog
Russian;Animals;Кот;Cat,Dog,Lion,Panter
Russian;Animals;Собака;Dog,Monkey,Hippo,Bug
Russian;Animals;Муха;Fly,Butterfly,Bee,Mosquito
Russian;Animals;Пчела;Bee,Bug,Fly,Dove
Russian;Animals;Бегемот;Hippo,Giraffe,Lion,Walrus
Russian;Animals;Жираф;Giraffe,Hippo,Tiger,Bee
Russian;Animals;Бабочка;Butterfly,Fly,Bee,Dove
English;Keyboard_layout;A;Ф,Й,К,А
English;Keyboard_layout;F;А,П,Р,У
English;Keyboard_layout;R;К,Е,У,А
English;Keyboard_layout;W;Ц,Ф,А,О
English;Keyboard_layout;K;Л,О,Ж,Т
English;Keyboard_layout;S;Ы,А,Я,И
English;Keyboard_layout;B;И,Т,М,Ы
English;Keyboard_layout;M;Ь,Т,И,Б
English;Keyboard_layout;Z;Я,Ч,Ф,И
English;Keyboard_layout;J;О,Ф,В,У
English;Keyboard_layout;U;Г,Ш,Е,О
English;Keyboard_layout;P;З,Щ,Х,Л
English;Keyboard_layout;T;Е,Н,В,Р
English;Keyboard_layout;Y;Н,О,Р,Д
English;Keyboard_layout;N;Т,О,Р,А
Russian;Keyboard_layout;А;F,T,Y,G
Russian;Keyboard_layout;Р;H,J,U,Y
Russian;Keyboard_layout;О;J,K,L,U
Russian;Keyboard_layout;Д;L,K,O,P
Russian;Keyboard_layout;Ы;S,F,A,T
Russian;Keyboard_layout;Ч;X,Z,C,S
Russian;Keyboard_layout;П;G,H,F,Y
Russian;Keyboard_layout;Г;U,I,J,G
Russian;Keyboard_layout;Т;N,M,J,B
Russian;Keyboard_layout;И;B,N,V,F
Russian;Keyboard_layout;З;P,O,I,L
Russian;Keyboard_layout;Щ;O,I,P,K
Russian;Keyboard_layout;Ш;I,K,J,H
Russian;Keyboard_layout;М;V,B,M,Y
Russian;Keyboard_layout;C;C,Z,X,T
English;Cinema;Shine;Сияние,Тьма,Сценарий,Воин
English;Cinema;Actor;Актер,Сценарист,Режисер,Продюссер
English;Cinema;Director;Режиссер,Писатель,Сценарист,Директор
English;Cinema;Take;Дубль,Сцена,Камера,Макияж
English;Cinema;Stage;Сцена,Дублт,Ужасы,Разминка
English;Cinema;Horror;Ужасы,Экшн,Коммедия,Драма
English;Cinema;Screenwriter;Сценарист,Режиссер,Ведущий,Актер
English;Cinema;Action;Экшн,Ужасы,Драма,Путешествие
English;Cinema;Warrior;Воин,Викинги,Лучник,Мародер
